Data Link,Version Name,Version Description,Keywords
https://data.egov.kz/api/v4/koshedegi_su_taratatyn_kurylgy2/v5?apiKey=yourApiKey,"Число уличных водоразборов (будок, колонок, кранов)","Данный набор содержит наименования инвестиционных проектов, контакты руководителей проектов, краткое описание проекта","Ключевые слова
числоуличные водоразборыколонкибудкиКөшедегі су тарататын құрылғыларколонкалар"
https://data.egov.kz/api/v4/su_kubyry_imarattarynyn_sany/v5?apiKey=yourApiKey,Число сооружений системы водоснабжения,"Данный набор содержит наименования проектов сопровождаемых АО ""НИТ"", контакты руководителей проектов, краткое описание проекта","Ключевые слова
сооружения системы водоснабжениясумен жабдықтау жүйесі имараттары"
https://data.egov.kz/api/v4/zheke_su_kubyry_zhelilerinin_s3/v6?apiKey=yourApiKey,Число отдельных водопроводных сетей,"Перечень нормативных правовых актов, регулирующих деятельность АО «Национальные информационные технологии»","Ключевые слова
числоотдельные сети системы водоснабжения"
https://data.egov.kz/api/v4/su_buru_zhuiesi_imarattardyn_s/v1?apiKey=yourApiKey,Число сооружений системы водоотведения,"Почтовые адреса, телефоны справочных служб Представительств акционерного общества ""Национальные информационные технологии""","Ключевые слова
числосооружения системы водоотведения"
https://data.egov.kz/api/v4/su_buru_zhuiesi_imarattarynyn_/v6?apiKey=yourApiKey,Число аварий сооружений системы водоотведения,публикуются имеющиеся вакансии в АО «Национальные информационные технологии»,"Ключевые слова
Число аварийсооружений системы водоотведениякәріз имараттары апаттарының саны"
https://data.egov.kz/api/v4/zhol_beriletin_shekti_shygaryn11/v7?apiKey=yourApiKey,Разрешенный выброс загрязняющих веществ в атмосферу по предприятиям с установленными нормами предельно-допустимых выбросов,меморандум,"Ключевые слова
разрешенный выбросзагрязняющие веществапо источникампредприятия с установленными нормамипредельно-допустимые выбросы"
https://data.egov.kz/api/v4/tazartu_imarattarymen_zhabdykt/v5?apiKey=yourApiKey,"Количество стационарных источников выбросов, оборудованных очистными сооружениями","Описание департаментов и управлений структурных подразделений АО ""Национальные информационные технологии""","Ключевые слова
Количествостационарныеисточникивыбросыоборудованные очистными сооружениями"
https://data.egov.kz/api/v4/2008_zhyldan_bastap_kazakstan_8/v3?apiKey=yourApiKey,Внешнеторговый оборот Республики Казахстан,Список членов Совета директоров АО «Национальные информационные технологии»,"Ключевые слова
Внешнеторговыйоборот"
https://data.egov.kz/api/v4/tovarooborot_respubliki_kazakh3/v3?apiKey=yourApiKey,Товарооборот Республики Казахстан с государствами-членами Евразийского экономического союза,"Перечень действующих лицензий, лицензиатов, а также деталей выданных лицензий","Ключевые слова
Внешнеторговыйоборот"
https://data.egov.kz/api/v4/eksporttyn_zhalpy_kolemindegi_4/v3?apiKey=yourApiKey,Доля экспорта обрабатывающей промышленности в общем объеме экспорта,"Список действующих юридических лиц, их учредителей и первых руководителей","Ключевые слова
обработанныетовары"
https://data.egov.kz/api/v4/munai_eksporty1/v1?apiKey=yourApiKey,Экспорт нефти,"Список действующих юридических лиц, их учредителей и первых руководителей","Ключевые слова
экспортнефть"
https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn19/v44?apiKey=yourApiKey,Количество зарегистрированных юридических лиц из Статистического бизнес-регистра,"В данным наборе содержится общая информация о НАО ""Медицинский университет Астана""","Ключевые слова
количествозарегистрированныхюридическихлиц"
https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn20/v49?apiKey=yourApiKey,Количество действующих юридических лиц из статистического бизнес-регистра,Информация о школах НАО «Медицинский университет Астана»,"Ключевые слова
количестводействующихюридическихлиц"
https://data.egov.kz/api/v4/opendata-api-uri350/v1?apiKey=yourApiKey,Общая площадь введенных в эксплуатацию жилых зданий,"Контактные данные деканов школ НАО ""Медицинский университет Астана""","Ключевые слова
тұрғын ғимараттардың жалпы алаңыобщая площадь жилых зданий"
https://data.egov.kz/api/v4/invest6/v7?apiKey=yourApiKey,Инвестиции в основной капитал,В наборе содержатся данные о количестве выездных случаев нейрохирургической помощи по линии санавиции специалистами АО «НЦН»,"Ключевые слова
инвестицииосновной капиталинвестиции в основной капитал"
https://data.egov.kz/api/v4/madeni-demalys_uiymdarynyn_tur1/v3?apiKey=yourApiKey,"Число культурно-досуговых организаций по видам, единиц",В наборе содержатся данные о количестве пролеченных Гамма-ножом в АО «НЦН»,"Ключевые слова
культурно-досуговыеорганизация"
https://data.egov.kz/api/v4/madeni-demalys_uiymdarynyn_bal/v3?apiKey=yourApiKey,"Число проведенных культурно-массовых мероприятий для детей культурно-досуговыми организациями, единиц",В наборе содержатся данные о количестве проведенной по телемедицине консультации в АО «НЦН»,"Ключевые слова
культурно-массовыемероприятия"
https://data.egov.kz/api/v4/kyzygushylyktary_boiynsha_kold/v3?apiKey=yourApiKey,"Число участников кружков, курсов прикладного творчества и прикладных знаний, любительских объединений и клубов по интересам, человек",В наборе содержатся данные о количестве пролеченных Гамма-ножом в АО «НЦН»,"Ключевые слова
участникикружкикурсы прикладного творчества и прикладных знанийлюбительские объединения и клубы по интересам"
https://data.egov.kz/api/v4/korkemonerpazdar_shygarmashyly10/v3?apiKey=yourApiKey,"Число коллективов самодеятельного творчества по жанрам, единиц",В наборе содержатся данные о количестве пролеченных Гамма-ножом в АО «НЦН»,"Ключевые слова
информацияколлективы самодеятельного творчестважанр"
https://data.egov.kz/api/v4/korkemonerpaz_shygarmashylygyn/v2?apiKey=yourApiKey,Число участников коллективов самодеятельного творчества по жанрам,В наборе содержатся данные о количестве пролеченных Гамма-ножом в АО «НЦН»,"Ключевые слова
культурно-досуговыхформирований"
https://data.egov.kz/api/v4/kitaphanalardyn_oku_zaldarynda/v3?apiKey=yourApiKey,"Количество научных, универсальных, специальных и прочих библиотек",В наборе содержатся данные о количестве выездных случаев нейрохирургической помощи по линии санавиции специалистами АО «НЦН»,"Ключевые слова
информация площадь здания помещения библиотека"
https://data.egov.kz/api/v4/kitaphanalardagy_paidalanushyl/v3?apiKey=yourApiKey,Число пользователей библиотек,В наборе содержатся данные о количестве проведенной по телемедицине консультации в АО «НЦН»,"Ключевые слова
информация площадь здания помещения библиотека"
https://data.egov.kz/api/v4/kitaphanaga_kelushiler_sany2/v3?apiKey=yourApiKey,Число посещений библиотек,В наборе содержатся данные о количестве выездных случаев нейрохирургической помощи по линии санавиции специалистами АО «НЦН»,"Ключевые слова
библиотека посещения"
https://data.egov.kz/api/v4/kitaphanalardagy_basylym_turle6/v3?apiKey=yourApiKey,Выдано в течение года по видам изданий в библиотеках,В наборе содержатся данные о количестве проведенной по телемедицине консультации в АО «НЦН»,"Ключевые слова
информация издания языках печатные аудио/видео"
https://data.egov.kz/api/v4/kyzygushylyktary_boiynsha_kold1/v2?apiKey=yourApiKey,"Число кружков, курсов прикладного творчества и прикладных знаний, любительских объединений и клубов по интересам, единиц",В наборе содержатся данные о количестве выездных случаев нейрохирургической помощи по линии санавиции специалистами АО «НЦН»,"Ключевые слова
кружкикурсы прикладного творчества и прикладных знанийлюбительские объединения и клубы по интересам"
https://data.egov.kz/api/v4/teatrlar_sany/v3?apiKey=yourApiKey,"Число театров, единиц","В наборе содержатся данные о количестве пролеченных и прооперированных, в том числе детей в АО «НЦН»","Ключевые слова
информациятеатр"
https://data.egov.kz/api/v4/oz_teatrynyn_alanynda_otkizilg/v3?apiKey=yourApiKey,"Число зрителей на мероприятиях, проведенных на площадке своего театра, человек","Данные по нейрохирургической помощи аппаратом Гамма- нож в АО ""НЦН""","Ключевые слова
информацияплощадьмероприятиязрителитеатр"
https://data.egov.kz/api/v4/oz_teatrynyn_alanynda_otkizilg1/v3?apiKey=yourApiKey,"Число мероприятий, проведенных на площадке своего театра, единиц",В наборе содержатся данные о количестве проведенной по телемедицине консультации в АО «НЦН»,"Ключевые слова
информацияплощадьмероприятиятеатр"
https://data.egov.kz/api/v4/kinoga_kelushiler_sany/v3?apiKey=yourApiKey,"Число посетителей кино, человек","В наборе содержатся данные о количестве людей в РК, получивших доконтактную профилактику ВИЧ инфекции за 12 месяцев 2024 года","Ключевые слова
информацияпосетителикино"
https://data.egov.kz/api/v4/muzeiler_sany/v3?apiKey=yourApiKey,Число музеев,В данном наборе содержатся данные о зарегистрированных случаях витилиго за 2024 год,"Ключевые слова
информация музей"
https://data.egov.kz/api/v4/muzeige_kelushiler_sany/v3?apiKey=yourApiKey,Число посетителей музеев,В данном наборе содержатся данные о зарегистрированных случаях ихтиоза за 2024 год,"Ключевые слова
информацияпосетителимузей"
https://data.egov.kz/api/v4/kinoseanstar_sany/v3?apiKey=yourApiKey,Число киносеансов,В данном наборе содержатся данные о зарегистрированных случаях псориаза за 2024 год,"Ключевые слова
информация киносеанс"
https://data.egov.kz/api/v4/kinoteatrlar_sany/v3?apiKey=yourApiKey,Число кинотеатров,В данном наборе содержатся данные о зарегистрированных случаях атопического дерматита за 2024 год,"Ключевые слова
информация кинотеатр"
https://data.egov.kz/api/v4/kazakstan_respublikasynyn_akim9/v6?apiKey=yourApiKey,Административно-территориальные единицы Республики Казахстан,В данном наборе содержатся данные о зарегистрированных случаях сифилиса за 2024 год,"Ключевые слова
статистика"
https://data.egov.kz/api/v4/statistikalyk_biznes-tirkelimn22/v45?apiKey=yourApiKey,"Количество действующих юридических лиц, с численностью свыше 100 человек, из Статистического бизнес-регистра",В данном наборе содержатся данные о зарегистрированных случаях гонореи за 2024 год,"Ключевые слова
количество действующих юридических лицс численностью свыше 100 человек"
https://data.egov.kz/api/v4/volume_of_industrial_productio/v4?apiKey=yourApiKey,"Объем производства промышленной продукции (товаров, услуг)",В данном наборе содержатся данные о зарегистрированных случаях трихомониаза за 2024 год,"Ключевые слова
өнеркәсіптік өнім өндірісінің көлеміобъем производства промышленной продукции"
https://data.egov.kz/api/v4/food_production_volume/v5?apiKey=yourApiKey,Объем производства продуктов питания,В данном наборе содержатся данные о зарегистрированных случаях хламидиоза за 2024 год,"Ключевые слова
тамақ өнімдерін өндіру көлеміобъем производства продуктов питания"
https://data.egov.kz/api/v4/indices_of_industrial_producti/v5?apiKey=yourApiKey,Индекс промышленного производства,"Итоги международной специализированной аккредитации РГП на ПХВ ""Казахский научный центр дерматологии и инфекционных заболеваний"" МЗ РК","Ключевые слова
өнеркәсіптік өндірістің индексіиндекс промышленного производства"
https://data.egov.kz/api/v4/zhumysty_azamattyk-kukyktyk_si/v4?apiKey=yourApiKey,"Численность работников выполняющих работы по договорам гражданско-правового характера,человек","Итоги международной институциональной аккредитации РГП на ПХВ ""Казахский научный центр дерматологии и инфекционных заболеваний"" МЗ РК","Ключевые слова
гражданско-правовоЙ характертрудчисленность"
https://data.egov.kz/api/v4/sudyn_ysyrap_bolgany_zhane_ese3/v1?apiKey=yourApiKey,Утечка и неучтенный расход воды,"Итоги аккредитации лаборатории РГП на ПХВ ""Казахского научного центра дерматологии и инфекционных заболеваний"" МЗ РК","Ключевые слова
утечканеучтенный расход водысудың ысырап болғаныесепке алынбаған шығыстары"
https://data.egov.kz/api/v4/gylymi__ambebap_arnaiy_zhane2/v3?apiKey=yourApiKey,"Количество научных, универсальных, специальных и прочих библиотек","Итоги аккредитации РГП на ПХВ ""Казахский научный центр дерматологии и инфекционных заболеваний» МЗ РК","Ключевые слова
информация площадь здания помещения библиотека"
https://data.egov.kz/api/v4/information_about_the_employme25/v1?apiKey=yourApiKey,Информация о трудоустройстве лицах в рамках Президентского молодежного кадрового резерва,"Сведения о научных проектах РГП на ПХВ ""Казахский научный центр дерматологии и инфекционных заболеваний""","Ключевые слова
кадровыйрезервПрезиденттік жастар кадрлық резерві"
https://data.egov.kz/api/v4/information_on_the_employment_1/v1?apiKey=yourApiKey,Информация о трудоустройстве лицах в рамках Президентского молодежного кадрового резерва (март 2022 года),"Основные показатели деятельности стационара РГП на ПХВ ""Казахский научный центр дерматологии и инфекционных заболеваний"" за 2024 г.","Ключевые слова
кадровый резерв Президенттік жастар кадрлық резерві"
https://data.egov.kz/api/v4/kitaphanalardyn_oku_zaldarynda1/v2?apiKey=yourApiKey,Число мест в читальных залах библиотек,Данные по достижению целей Объединенной программы ООН по ВИЧ/СПИД (ЮНЭЙДС) 95–95–95 в Казахстане за 2024 год,"Ключевые слова
информация площадь здания помещения библиотека"
https://data.egov.kz/proxy/opendata-api-uri456?apiKey=yourApiKey,Валовой внутренний продукт методом производства,В наборе содержатся данные о зарегистрированных случаях ВИЧ-инфекции за 12 месяцев 2024 года,"Ключевые слова
Валовой внутренний продукт методом производства"
https://data.egov.kz/proxy/zhan_basyna_shakkandagy_ondiri?apiKey=yourApiKey,Валовой внутренний продукт методом производства на душу населения,"Свидетельство об аккредитации Детского клинического санатория ""Алатау""","Ключевые слова
валовой внутренний продукт на душу населения"
https://data.egov.kz/proxy/ondiris_shotyndagy_zhalpy_kosy?apiKey=yourApiKey,Валовая добавленная стоимость в счете производства,Аналитический отчет по коечному фонду за 2024г в сравнении с 2023г по РГП на ПХВ ДКС Алатау,
https://data.egov.kz/proxy/opendata-api-uri457?apiKey=yourApiKey,Удельный вес регионов в валовом внутреннем продукте,График приема граждан руководством Научно- производственного центра трансфузиологии за 2024 год,"Ключевые слова
Удельный вес региона Валовой внутренний продукт"
https://data.egov.kz/proxy/opendata-api-uri458?apiKey=yourApiKey,Валовой региональный продукт,Блог руководителя Научно- производственного центра трансфузиологии за 2024 год,"Ключевые слова
Валовой региональный продукт"
https://data.egov.kz/proxy/zhalpy_onirlik_onimnin_nakty_k?apiKey=yourApiKey,Индекс физического объема валового регионального продукта,"Итоги акредитации отделов, лабораторий Научно- производственного центра трансфузиологии за 2024 год","Ключевые слова
Индекс физического объема Валовой региональный продукт"
https://data.egov.kz/proxy/zhan_basyna_shakkandagy_zhalpy?apiKey=yourApiKey,Валовой региональный продукт на душу населения,Количество донаций крови и ее компонентов по Республике Казахстан за 2024 год,"Ключевые слова
Валовой региональный продукт на душу населения"
https://data.egov.kz/proxy/zheke_kasipkerlerdin_onim_shyg1?apiKey=yourApiKey,Выпуск продукции индивидуальными предпринимателями,Доля безвозмездных и платных донаций крови и ее компонентов в РГП на ПХВ «Научно-производственный центр трансфузиологии» за 2024 года,"Ключевые слова
Выпуск продукции индивидуальными предпринимателями"
https://data.egov.kz/proxy/shagyn_zhane_orta_kasipkerlik_11?apiKey=yourApiKey,Выпуск продукции субъектами малого и среднего предпринимательства,Доля безвозмездных и платных донаций крови и ее компонентов в РГП на ПХВ «Научно-производственный центр трансфузиологии» за 2024 год,"Ключевые слова
Выпуск продукции субъектами малого и среднего предпринимательства"
https://data.egov.kz/proxy/zhan_basyna_shakkanda_shagyn_z1?apiKey=yourApiKey,Выпуск продукции субъектов малого и среднего предпринимательства на душу населения,Доля донаций в условиях центра крови и в выездных условиях по Республике Казахстан за 2024 год,"Ключевые слова
Выпуск продукции субъектов малого и среднего предпринимательства на душу населения"
https://data.egov.kz/proxy/opendata-api-uri459?apiKey=yourApiKey,Среднедушевые номинальные денежные доходы населения,Показатель донаций на 1000 населения по Республике Казахстан за 2024 год,"Ключевые слова
доход табыс денежный доход ақшалай табыс номинальный доход номиналды табыс доходы населения халықтың табыстары среднедушевой доход орта есеппен жан басына шаққандағы табыс номинальные денежные доходы населения халықтың номиналды ақшалай табыстары"
https://data.egov.kz/proxy/opendata-api-uri460?apiKey=yourApiKey,Индекс номинальных денежных доходов,Количество выданных компонентов крови в медицинские организации по Республике Казахстан за 2024 год,"Ключевые слова
Доход табыс денежный доход ақшалай табыс доходы населения халықтың табыстары номинальные денежные доходы населения халықтың номиналды ақшалай табыстары индекс номинальных денежных доходов населения халықтың номиналды ақшалай табыстарының индексі"
https://data.egov.kz/proxy/nakty_akshalai_tabystar_indeks?apiKey=yourApiKey,Индекс реальных денежных доходов,Количество заготовленной крови и ее компонентов по Республике Казахстан за 2024 год,"Ключевые слова
Доход табыс реальный доход нақты табыс реальные денежные доходы населения халықтың нақты ақшалай табыстары"
https://data.egov.kz/proxy/opendata-api-uri461?apiKey=yourApiKey,Структура денежных доходов в среднем на душу населения,Количество исследований на трансфузионно-трансмиссивные инфекции по Республике Казахстан за 2024 год,"Ключевые слова
статистика структура денежных доходов в среднем на душу населения"
https://data.egov.kz/proxy/halyktyn_ortasha_zhan_basyna_s?apiKey=yourApiKey,"Доходы, использованные на потребление, в среднем на душу населения",Количество исследований на трансфузионно-трансмиссивные инфекции в РГП на ПХВ «Научно-производственный центр трансфузиологии» по итогам 2024 год,"Ключевые слова
статистика доходы населения использованные на потребление в среднем на душу населения"
https://data.egov.kz/proxy/tutynuga_zhumsalgan_tabystyn_e?apiKey=yourApiKey,"Соотношение доходов, использованных на потребление, с величиной прожиточного минимума",Количество потенциальных доноров гемопоэтических стволовых клеток по Республике Казахстан за 2024 год,"Ключевые слова
соотношение доходов покупательная способность соотношение дохода с ВПМ табыстардың арақатынасы сатып алу қабілеті табыстардың ЕТКД-мен арақатынасы"
https://data.egov.kz/proxy/opendata-api-uri463?apiKey=yourApiKey,"Доходы домашних хозяйств, использованные на потребление, в среднем на домашнее хозяйство",Количество донаций крови и ее компонентов в РГП на ПХВ «Научно-производственный центр трансфузиологии» за 2024 год,"Ключевые слова
статистика доходы домашних хозяйств доход на потребление домашнее хозяйство"
https://data.egov.kz/proxy/opendata-api-uri464?apiKey=yourApiKey,"Денежные расходы населения, в среднем на душу населения",Доля донаций в условиях центра крови и в выездных условиях РГП на ПХВ «Научно-производственный центр трансфузиологии» за 2024 год,"Ключевые слова
статистика денежные расходы населения в среднем на душу населения орташа есеппен халықтың жан басына шаққандағы халықтың ақшалай шығыстары"
https://data.egov.kz/proxy/opendata-api-uri465?apiKey=yourApiKey,"Потребительские расходы населения, в среднем на душу населения",Показатель донаций на 1000 населения в РГП на ПХВ «Научно-производственный центр трансфузиологии» за 2024 год,"Ключевые слова
статистика потребительские расходы населения в среднем на душу населения"
https://data.egov.kz/proxy/halyktyn_ortasha_zhan_basyna_s1?apiKey=yourApiKey,"Денежные расходы населения на продовольственные товары, в среднем на душу населения",Количество выданных компонентов крови в медицинские организации в РГП на ПХВ «Научно-производственный центр трансфузиологии» за 2024 год,"Ключевые слова
статистика денежные расходы населения продовольственные товары в среднем на душу населения орташа есеппен халықтың жан басына шаққандағы халықтың азық-түлік тауарларына жұмсаған ақшалай шығыстары"
https://data.egov.kz/proxy/halyktyn_ortasha_zhan_basyna_s6?apiKey=yourApiKey,"Денежные расходы населения на продукты питания, в среднем на душу населения",Количество заготовленной крови и ее компонентов в РГП на ПХВ «Научно-производственный центр трансфузиологии» за 2024 год,"Ключевые слова
статистика денежные расходы населения продукты питания в среднем на душу населения орташа есеппен халықтың жан басына шаққандағы халықтың тамақ өнімдеріне жұмсаған ақшалай шығыстары"
https://data.egov.kz/proxy/opendata-api-uri466?apiKey=yourApiKey,"Денежные расходы населения на непродовольственные товары, в среднем на душу населения","Перечень нормативных правовых актов, регулирующих деятельность службы крови по итогам 2024 года Основная нормативно-правовая база Службы крови","Ключевые слова
статистика денежные расходы населения непродовольственные товары в среднем на душу населения орташа есеппен халықтың жан басына шаққандағы халықтың азық-түлік емес тауарларға ақшалай шығыстары"
https://data.egov.kz/proxy/halyktyn_ortasha_zhan_basyna_s43?apiKey=yourApiKey,"Денежные расходы населения на платные услуги, в среднем на душу населения",РГП на ПХВ Научно-производственный центр трансфузиологии: научные публикации по итогам 2024 года.,"Ключевые слова
статистика денежные расходы населения платные услуги в среднем на душу населения орташа есеппен халықтың жан басына шаққандағы халықтың ақылы қызметтерге ақшалай шығыстары"
https://data.egov.kz/proxy/ortasha_ui_sharuashylygyna_sha11?apiKey=yourApiKey,"Денежные расходы домашних хозяйств, в среднем на домашнее хозяйство",Методические рекомендации НПЦТ по итогам 2024 года,"Ключевые слова
статистика расходы домашних хозяйств денежные расходы домашнее хозяйство"
https://data.egov.kz/proxy/ortasha_ui_sharuashylygyna_sha28?apiKey=yourApiKey,"Потребительские расходы домашних хозяйств, в среднем на домашнее хозяйство",Контакты региональных центров крови 2024 год,"Ключевые слова
статистика расходы домашних хозяйств потребительские расходы домашнее хозяйство"
https://data.egov.kz/proxy/ortasha_ui_sharuashylygyna_sha29?apiKey=yourApiKey,"Денежные расходы домашних хозяйств на продовольственные товары, в среднем на домашнее хозяйство","Данный набор содержит наименование, адрес и контактные номера АО «НЦАГиП»","Ключевые слова
статистика расходы домашних хозяйств денежные расходы расходы на продовольственные товары домашнее хозяйство"
